LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA10050,8473,310,114,12,434,389,9304,6398,277,38,7,321,276,6991,5195,474,58,8,536,240,5974,5493,364,46,6,415,244,6146,5937,258,33,0,290,213,6437,5261,175,33,6,208,224,5691,3349,177,29,9,216,164,3722,2174,125,27,5,157,147,2478,927,50,18,4,69,66,1069,43203,2203,394,44,2647,1968,47807,8414,465,193,14,670,524,9611,5978,282,45,4,330,449,6754,5326,639,75,7,719,451,6495,5154,565,97,4,668,383,6203,5698,328,81,4,410,387,6498,5667,233,62,0,293,416,6375,4355,160,45,3,213,339,4903,2437,150,42,4,195,277,2910,1097,68,16,0,84,149,1327,44120,2892,646,45,3580,3372,51080,8981,738,206,49,993,597,10571,5925,480,30,6,513,371,6809,5766,1054,83,5,1140,410,7316,5591,811,109,3,919,367,6881,5821,438,129,4,565,321,6711,6183,244,102,0,343,316,6839,5509,175,72,0,246,275,6036,3142,139,44,3,185,214,3539,1206,68,29,0
LGA10180,4660,214,88,18,319,297,5274,4483,356,62,0,413,259,5156,2421,276,33,7,324,180,2926,2642,246,22,5,270,191,3106,3380,150,5,0,158,139,3682,2984,79,7,0,88,131,3196,2054,30,4,3,39,106,2206,1221,13,4,0,22,71,1313,506,14,0,0,21,29,555,24351,1391,233,34,1651,1404,27406,4430,326,113,8,447,285,5155,4334,357,78,0,440,446,5232,2492,599,55,4,657,239,3390,2418,356,35,0,392,183,2999,3051,201,22,0,219,257,3529,3044,114,4,3,123,233,3395,2378,50,6,0,63,181,2623,1360,24,3,0,33,127,1520,572,12,3,0,15,43,624,24071,2041,330,24,2396,1998,28468,4066,519,151,28,695,483,5240,3464,397,66,0,460,739,4661,2608,716,64,0,784,357,3750,2327,549,66,0,612,240,3182,2685,243,53,0,296,228,3208,3187,128,33,0,164,224,3574,2603,68,17,0,87,193,2885,1686,33,4,0,32,195,1918,575,7,0,0
LGA10250,6581,199,35,6,238,219,7039,3718,121,16,0,137,138,3995,3000,146,5,0,152,131,3280,4494,225,13,0,242,151,4889,5427,174,14,0,192,159,5781,5499,150,13,0,159,185,5843,3895,84,6,0,97,133,4122,2699,79,9,5,88,140,2927,1237,43,5,0,51,108,1397,36549,1225,116,19,1356,1375,39275,6240,252,49,8,306,383,6927,3609,111,7,0,118,227,3953,3121,225,14,0,241,220,3583,4093,277,9,5,286,282,4664,5133,248,14,3,269,360,5765,5819,148,12,0,170,449,6433,5006,123,8,4,133,362,5500,2800,78,5,5,84,319,3205,1393,55,5,0,66,296,1759,37212,1523,120,34,1676,2894,41786,6675,395,73,26,492,367,7539,3929,146,10,0,160,216,4306,3627,355,23,4,382,255,4262,4502,459,19,0,477,275,5248,5342,282,17,0,300,261,5901,6013,192,21,0,210,285,6505,6264,144,5,3,150,304,6722,3650,72,8,0,79,237,3968,1551,47,9,0
LGA10300,427,9,0,0,12,29,464,215,12,5,0,14,22,253,186,19,8,0,23,10,217,259,14,5,0,26,16,300,287,39,0,0,42,32,366,281,27,3,0,26,24,327,168,11,0,0,12,15,196,92,9,10,0,20,11,125,27,3,0,0,3,3,39,1938,148,31,0,180,162,2286,422,9,7,0,18,38,484,229,11,0,0,11,24,263,186,19,5,0,19,25,230,220,19,0,0,21,29,273,238,28,0,0,28,23,289,304,28,9,0,39,44,378,173,10,0,0,10,26,205,94,8,5,0,17,20,128,28,0,0,0,3,5,35,1899,128,20,0,154,230,2290,355,13,12,0,25,52,434,177,12,10,0,18,24,220,181,45,13,0,60,35,274,154,18,7,0,26,27,212,213,22,9,0,29,39,289,264,21,3,0,29,40,333,222,16,0,0,21,45,289,89,5,6,0,9,17,117,37,0,0,0
LGA10470,7439,171,44,10,222,331,7994,5615,186,13,3,206,411,6226,3895,155,5,0,163,427,4488,4330,209,22,0,230,366,4924,4614,162,22,5,188,251,5053,4118,126,12,0,134,221,4469,2681,83,5,4,92,153,2930,1597,47,10,0,57,118,1775,592,15,3,0,29,32,647,34882,1163,140,20,1323,2317,38517,7403,246,66,9,324,388,8121,5224,191,21,7,220,679,6125,4264,282,23,3,306,594,5174,4085,295,27,4,325,467,4879,4567,218,27,0,246,422,5241,4467,130,18,3,155,374,4994,3420,106,18,0,130,316,3863,1743,59,9,0,62,213,2016,714,19,3,0,23,155,898,35903,1551,212,17,1781,3613,41301,7392,324,69,26,426,361,8175,5126,235,9,0,242,408,5785,4595,481,35,0,518,570,5680,4148,450,34,0,484,490,5124,4682,283,28,3,313,388,5383,4845,184,21,0,197,290,5338,4117,129,31,0,158,221,4497,2319,69,21,0,84,126,2528,945,24,6,0
LGA10500,12129,8092,2042,277,10409,1535,24073,6669,8318,367,110,8794,921,16388,7764,13560,638,87,14283,1396,23439,8671,10149,809,80,11032,1089,20796,7553,7448,1424,84,8958,826,17330,6220,5476,1832,65,7375,688,14278,4244,3416,2024,50,5492,462,10195,3157,1747,1714,50,3512,377,7049,2017,374,547,12,930,207,3154,58417,58577,11393,807,70778,7497,136700,13442,8051,2238,232,10522,1377,25345,7962,10188,720,79,10984,1048,20000,9863,17554,1219,98,18871,1938,30672,9065,11559,881,112,12558,1291,22910,8185,8409,1321,79,9809,970,18962,6457,5986,2005,66,8065,816,15337,4785,4169,2026,68,6260,613,11656,2712,2297,1995,45,4335,547,7599,1629,639,786,33,1459,492,3576,64103,68858,13186,814,82861,9093,156061,14189,8313,2000,606,10916,1387,26491,9357,10562,408,10,10979,1147,21488,13162,19879,1288,32,21196,2173,36536,10350,13703,1130,16,14849,1351,26551,9474,9190,1039,20,10249,901,20624,7617,7057,2065,18,9142,739,17495,5461,4926,2473,21,7415,603,13485,3076,2800,2195,12,5007,619,8707,1265,829,1102,17
LGA10550,5277,100,19,8,128,182,5588,2981,53,5,0,58,110,3151,2156,58,9,0,64,102,2327,3231,126,12,0,137,131,3495,4737,137,9,0,143,155,5037,5156,150,5,0,162,203,5518,3616,124,8,0,132,153,3900,1913,106,13,0,118,104,2137,679,39,8,0,45,76,800,29742,895,77,16,986,1218,31948,4777,138,26,9,170,310,5259,2741,54,7,0,63,180,2983,2198,93,5,3,101,183,2480,2755,137,17,6,159,202,3117,4117,155,20,0,169,361,4651,5577,144,3,7,154,426,6159,4574,126,9,0,135,352,5060,2183,114,3,0,121,244,2546,838,34,4,0,37,117,993,29762,998,89,18,1113,2380,33254,4898,159,30,9,193,338,5428,2757,73,3,0,74,215,3044,2635,176,10,0,186,213,3033,2959,186,12,0,198,183,3344,3872,175,14,0,191,283,4348,5806,135,15,0,148,376,6337,5739,137,9,0,146,339,6219,2795,87,7,0,94,213,3104,870,45,8,0
LGA10600,2296,67,13,0,76,73,2447,1165,24,4,0,25,39,1225,787,36,4,0,38,26,848,1368,74,5,0,74,33,1480,1937,68,4,0,72,43,2054,1874,55,0,0,55,42,1972,1315,41,0,0,41,28,1382,743,26,4,0,26,19,792,304,4,3,0,6,14,323,11780,394,26,0,424,315,12521,1988,72,8,0,79,129,2202,1029,20,0,0,24,65,1114,841,56,0,0,53,55,952,1190,47,0,0,54,80,1324,1647,54,0,0,54,122,1824,2039,62,3,0,66,132,2247,1564,44,0,0,45,112,1717,813,30,0,6,38,76,925,333,4,0,0,13,26,367,11449,396,19,11,429,789,12670,1920,103,13,0,115,176,2220,996,27,4,0,32,85,1104,909,61,0,0,62,72,1044,1107,79,0,0,79,111,1300,1579,49,6,0,51,137,1770,2066,75,3,0,77,122,2263,1913,47,8,0,55,138,2110,939,32,0,0,36,86,1054,350,9,4,0
LGA10650,1309,22,8,0,27,62,1396,744,18,4,0,19,36,802,609,23,8,0,29,18,654,790,21,0,0,25,34,847,986,24,0,0,24,40,1052,1224,19,3,0,21,32,1280,1060,16,0,0,16,45,1122,591,15,0,0,15,50,655,226,8,4,0,17,16,252,7533,170,20,3,199,330,8063,1263,41,5,0,51,129,1442,658,18,5,0,19,81,755,614,52,4,0,61,75,744,729,37,5,0,41,76,844,816,32,3,0,34,92,936,1170,12,0,0,14,118,1307,1220,24,0,0,27,123,1368,653,10,0,0,16,76,741,257,13,0,0,13,49,311,7376,248,21,4,275,812,8462,1161,40,6,0,47,127,1332,637,16,0,0,16,77,730,604,56,6,0,59,65,732,678,50,11,0,54,55,793,839,33,5,0,35,89,968,1144,16,0,0,23,109,1277,1411,25,4,0,30,154,1595,799,15,0,0,10,92,899,286,10,0,0
LGA10750,47555,16371,3941,544,20864,3043,71458,26755,13368,391,167,13929,1681,42369,24859,18726,944,203,19878,1830,46573,24524,17635,1262,165,19059,1556,45130,20852,14641,1869,132,16641,1313,38803,16845,9657,2091,99,11845,989,29674,9538,4104,1770,47,5916,607,16066,4716,1787,1326,42,3158,389,8253,1428,565,584,34,1181,162,2770,177064,96864,14166,1423,112456,11569,301093,48494,19541,4478,512,24536,3637,76664,28159,15363,433,116,15912,2049,46122,24503,23695,1177,192,25064,2682,52244,23186,24068,1540,226,25837,2381,51401,21142,16745,2049,151,18947,1979,42063,16856,12188,2920,143,15256,1589,33698,11671,6355,2249,90,8699,1166,21541,5191,2233,1570,35,3833,652,9674,1725,753,740,22,1520,308,3551,180924,120943,17162,1494,139603,16439,336960,49998,28661,4934,1473,35072,5049,90124,28780,18743,379,39,19159,2869,50801,25684,28427,1205,50,29686,3894,59261,22893,39084,1859,51,40990,3505,67391,22081,20822,2352,39,23211,2275,47563,17844,14873,3563,50,18487,1545,37873,13075,9086,3716,58,12859,1091,27022,6471,3232,1995,31,5257,711,12432,1972,960,904,21
