LGA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
LGA10050,226,138,137,145,142,126,125,45,14,1108,7,4,3,4,5,0,11,4,0,32,3988,2628,2134,2837,3556,3977,4038,2658,1107,26928,299,127,361,246,121,63,34,17,6,1268,109,26,66,74,39,12,3,4,0,328,3,3,9,0,9,0,10,0,0,35,0,0,0,0,3,0,0,0,0,3,163,38,326,122,16,6,6,0,0,685,17,40,39,29,26,23,10,4,5,189,183,80,364,151,44,30,21,4,5,877,5155,3396,3790,2974,2418,2233,1514,577,164,22224,777,510,543,503,440,455,381,264,102,3974,10571,6809,7316,6881,6711,6839,6036,3539,1385,56093
LGA10180,111,66,77,76,62,61,60,42,6,568,0,6,0,3,3,4,3,0,0,30,1952,1569,1188,1302,1769,2109,1820,1367,469,13555,64,55,217,72,19,15,3,6,0,435,129,29,78,88,27,15,0,0,0,370,10,5,0,3,7,0,4,0,0,23,0,4,0,0,0,0,0,0,0,17,23,4,44,23,0,0,3,0,0,97,200,179,102,66,56,33,20,0,0,655,220,184,148,95,56,41,17,5,0,769,2246,1971,1648,1236,990,1080,746,328,110,10356,577,814,428,320,283,290,259,207,133,3305,5240,4661,3750,3182,3208,3574,2885,1918,713,29124
LGA10250,172,103,82,110,138,142,141,72,27,977,0,12,7,0,9,11,5,4,4,52,2715,1637,1191,1881,2825,3519,4032,2885,1354,22036,28,10,40,36,18,15,11,0,0,156,21,0,11,14,13,3,3,0,0,66,9,0,3,11,5,15,12,7,0,64,3,8,0,0,4,0,0,0,0,25,22,3,32,24,0,0,3,3,4,96,10,6,12,22,37,25,18,9,3,144,37,25,49,46,43,32,22,10,7,265,4163,2274,2562,2782,2500,2411,2116,785,273,19871,531,320,364,404,380,429,456,255,202,3336,7539,4306,4262,5248,5901,6505,6722,3968,1834,46296
LGA10300,12,9,15,9,10,7,7,0,0,69,0,0,0,0,0,0,0,0,0,0,187,117,105,89,170,208,182,84,34,1186,0,0,4,6,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,9,182,68,107,80,58,75,50,11,5,636,61,26,37,35,49,46,48,20,15,327,434,220,274,212,289,333,289,117,47,2208
LGA10470,131,75,81,95,79,83,73,42,7,666,0,0,0,0,0,0,3,3,0,14,3972,2778,2231,2538,3228,3563,3162,1976,833,24288,93,42,159,88,29,11,10,3,0,438,92,20,55,68,23,11,8,0,0,283,0,3,3,0,0,0,3,0,0,9,8,5,4,6,4,3,0,0,0,22,40,16,57,44,11,0,0,0,0,161,6,24,30,18,19,19,14,3,4,137,48,45,86,64,33,21,16,0,4,323,3450,2360,2421,1730,1547,1300,976,373,133,14270,468,511,678,586,470,392,300,168,80,3658,8175,5785,5680,5124,5383,5338,4497,2528,1052,43567
LGA10500,704,616,1105,852,679,521,454,248,87,5262,6,3,13,12,10,16,12,0,4,73,12167,8844,12207,11364,11549,9802,8546,6426,2634,83555,1032,1566,2841,1383,386,225,158,60,16,7664,3639,2311,3070,2438,1606,1213,671,256,62,15275,223,141,134,165,192,158,160,77,20,1273,0,3,3,0,0,0,0,0,0,13,36,40,86,54,16,17,5,0,7,263,37,41,128,89,81,55,44,19,0,492,71,78,219,144,108,79,51,18,5,766,6935,6106,12987,7508,4634,4144,2518,974,357,46153,1863,1525,2957,1904,1269,1072,819,687,620,12729,26491,21488,36536,26551,20624,17495,13485,8707,3802,175184
LGA10550,112,51,57,69,82,133,108,59,19,698,0,0,0,0,0,3,11,4,0,24,1556,928,754,1132,1822,2913,3178,2035,708,15029,21,6,46,23,7,3,8,0,0,116,11,0,13,6,11,0,4,0,0,56,10,0,5,3,0,8,10,0,0,32,5,0,3,0,0,0,0,0,0,11,0,0,3,0,4,0,0,0,0,13,9,13,13,21,15,32,24,5,0,134,15,14,21,21,23,33,24,5,4,154,3314,1797,1869,1825,2038,2810,2440,777,198,17065,473,276,295,283,383,501,483,269,170,3136,5428,3044,3033,3344,4348,6337,6219,3104,1089,35942
LGA10600,34,18,23,24,28,47,69,21,9,277,3,0,0,0,3,3,3,0,6,20,493,295,218,298,589,934,962,651,259,4706,5,0,12,3,8,3,7,0,0,31,3,0,0,0,4,0,0,0,0,15,4,3,0,5,9,10,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,22,9,13,9,22,18,10,0,0,97,22,9,18,13,22,15,6,0,0,108,1444,690,692,802,919,1074,872,294,86,6873,231,100,99,157,176,184,218,102,52,1310,2220,1104,1044,1300,1770,2263,2110,1054,395,13253
LGA10650,25,9,6,21,21,13,14,12,0,116,0,0,0,0,0,0,0,3,0,3,572,305,260,402,501,748,982,607,253,4644,9,0,13,5,4,0,0,0,0,25,5,0,0,10,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,3,9,0,0,0,0,0,13,0,5,3,3,3,0,3,0,0,25,3,5,14,9,6,0,3,3,0,39,587,337,351,289,342,397,419,190,40,2961,153,82,88,71,115,122,184,97,40,948,1332,730,732,793,968,1277,1595,899,334,8665
LGA10750,3329,2129,2118,2049,1622,1351,755,229,63,13640,76,45,44,54,48,50,30,10,7,347,35512,23525,21537,25157,25530,22999,18221,9032,3204,184719,14439,4425,8042,15048,4952,2673,1609,509,101,51801,9846,4161,4729,6066,3144,2147,1192,416,65,31759,23,13,17,27,29,16,22,13,0,151,14,4,7,4,8,0,0,0,0,40,4451,2432,4949,3625,1216,726,521,172,34,18134,381,232,343,464,254,218,113,44,10,2070,4846,2676,5295,4093,1478,948,628,219,51,20241,17835,11609,13680,10730,8228,6080,3258,1226,318,72975,6402,3725,4947,4593,3002,2074,1443,822,518,27538,90124,50801,59261,67391,47563,37873,27022,12432,4304,396776
