LGA_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
LGA10050,9,0,4,0,0,13,15,0,5,0,0,23,149,6,48,3,9,216,196,9,102,5,17,322,137,8,89,7,9,246,186,26,180,10,9,415,146,19,180,20,14,380,39,17,89,15,6,165,12,3,28,0,0,39,0,0,10,3,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,25,0,20,3,0,42,914,91,757,71,69,1901,0,0,0,0,0,0,13,0,3,0,0,18,36,0,27,7,4,71,158,3,106,6,7,286,131,3,67,3,4,213,228,21,179,4,14,447,277,34,245,19,24,603,112,36,190,19,18,378,23,3,38,7,3,67,0,0,6,0,0,6,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,0,8,3,6,33,999,111,869,76,80,2136,6,0,0,0,0,4,9,0
LGA10180,9,4,9,0,4,25,3,0,3,0,0,9,44,7,32,0,11,91,115,8,80,3,10,221,58,12,49,11,6,133,97,18,78,0,12,206,88,18,119,11,4,235,45,5,83,10,7,152,0,3,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,22,4,15,0,3,42,495,65,486,36,58,1143,5,0,6,0,0,14,4,0,0,0,0,7,22,0,12,0,0,32,64,4,29,4,8,107,65,0,55,6,4,132,112,6,80,6,11,210,147,12,155,3,17,342,108,33,159,11,10,329,12,3,30,6,5,57,4,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,6,10,0,0,34,558,70,547,37,61,1276,4,3,4,0,0,11,0,0
LGA10250,12,0,0,0,0,16,13,0,0,0,0,16,57,0,13,0,6,83,57,4,24,0,10,97,41,3,20,0,8,66,101,11,51,4,13,175,224,21,168,15,23,453,189,48,291,25,33,588,45,13,85,11,7,157,12,4,14,3,3,33,0,0,4,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,9,0,3,0,0,8,12,4,18,0,0,33,772,111,691,61,95,1736,0,0,0,0,0,7,0,0,3,0,0,3,38,3,9,0,0,44,45,0,7,6,5,61,28,0,4,0,4,36,57,9,24,5,7,96,160,9,109,9,20,304,265,27,292,26,24,633,132,29,195,27,20,394,48,8,63,17,0,140,9,4,29,4,0,55,0,3,8,0,0,13,3,0,0,0,0,4,0,0,3,0,0,5,19,4,13,0,0,35,818,99,752,92,78,1838,4,0,3,0,0,4,0,0
LGA10300,4,0,8,0,0,15,0,0,0,0,0,4,7,5,10,0,5,21,9,0,14,3,3,26,3,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,39,6,38,3,6,85,4,0,3,0,0,12,0,0,0,0,0,3,4,0,4,0,4,10,16,4,5,0,0,22,3,5,4,0,0,19,0,0,3,0,0,11,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,3,12,41,6,30,0,7,86,7,0,0,0,0,3,0,0
LGA10470,13,0,5,0,0,16,7,0,0,0,0,11,61,3,20,3,4,92,97,7,61,6,10,180,88,8,61,3,13,178,133,10,147,5,18,318,120,24,196,17,13,365,50,23,103,8,6,203,3,0,15,0,0,22,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,12,0,3,26,600,89,631,42,68,1428,5,0,4,0,0,10,14,0,0,0,0,13,17,0,9,0,0,30,52,0,27,3,5,91,52,4,28,5,8,89,117,4,92,8,10,227,214,24,223,14,15,485,143,49,241,18,20,471,11,11,26,9,5,59,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,13,0,0,36,636,99,655,60,63,1521,0,0,0,0,0,6,4,0
LGA10500,17,0,4,0,9,33,12,0,3,0,5,20,159,0,25,3,11,195,97,11,36,9,18,179,74,6,41,3,6,140,168,13,120,19,25,346,656,65,504,53,53,1333,1274,121,1124,103,144,2771,609,92,564,67,104,1438,281,47,287,32,69,714,82,22,110,19,20,246,28,4,53,14,11,110,11,4,16,0,0,32,16,5,23,0,3,49,103,17,77,8,17,227,3579,419,2987,339,506,7820,12,0,5,0,0,14,10,0,5,0,0,11,31,0,11,0,4,52,136,4,26,5,3,176,74,0,25,3,12,115,107,9,48,10,18,196,215,14,143,16,18,407,1346,81,1094,101,105,2728,1484,87,1089,91,141,2898,1169,89,790,92,112,2246,614,56,425,64,71,1236,130,24,170,25,24,376,59,13,72,9,9,164,73,15,76,15,14,193,137,18,88,13,20,278,5594,412,4062,461,553,11080,9,0,10,0,6,23,5,0
LGA10550,15,0,4,0,0,22,12,0,6,0,0,20,45,6,23,0,7,75,96,7,55,3,4,169,77,3,65,4,9,153,105,14,95,7,20,244,72,19,130,20,13,258,31,10,29,4,0,78,7,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,13,0,13,4,9,39,473,63,430,45,51,1063,7,0,3,0,0,13,11,0,0,0,0,7,20,3,11,6,0,37,42,3,15,0,3,63,56,0,25,6,4,89,86,3,50,3,9,156,128,20,152,5,12,316,100,28,124,4,15,270,13,0,7,0,0,24,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,8,34,467,72,404,26,54,1026,7,0,3,0,0,13,0,0
LGA10600,3,0,4,3,0,5,3,0,0,0,0,4,11,0,10,4,0,23,19,0,18,0,0,47,22,5,23,0,0,51,33,8,33,7,3,86,28,13,65,0,0,116,16,3,41,8,4,65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,12,141,35,200,17,16,414,0,0,0,0,3,3,0,0,0,0,0,4,4,0,5,0,0,14,14,0,8,0,0,21,10,0,4,0,0,17,29,0,22,0,6,57,52,3,47,7,7,114,40,11,84,3,11,150,3,3,21,5,0,31,4,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,20,167,21,205,16,28,443,0,0,5,0,0,3,0,0
LGA10650,8,0,6,0,0,15,6,0,0,0,0,8,28,0,14,4,3,44,35,4,27,7,3,78,12,4,10,5,4,38,7,0,18,4,3,31,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,0,14,106,19,85,12,10,244,0,0,4,0,0,6,3,0,5,0,0,7,18,0,8,0,0,23,34,3,21,3,0,61,28,0,13,0,0,48,21,4,36,0,4,60,15,5,23,3,0,38,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,0,0,10,131,19,112,5,10,276,0,0,3,0,0,3,4,0
LGA10750,59,3,22,4,10,100,38,0,18,3,9,65,530,18,111,31,69,762,282,73,247,49,111,766,215,83,239,33,141,707,378,134,552,71,118,1255,1140,289,1892,165,248,3740,1153,356,2043,217,240,4006,286,140,535,91,108,1155,104,58,262,46,49,517,20,14,56,6,11,104,4,4,11,4,0,20,0,0,3,0,0,4,14,3,28,9,5,60,155,23,152,25,49,403,4384,1195,6172,751,1169,13673,25,3,10,0,3,43,27,0,13,0,6,43,115,7,46,6,14,191,423,22,116,24,66,649,153,31,97,8,40,338,230,45,194,29,81,581,732,165,976,129,250,2253,2075,536,3484,368,467,6926,947,339,1716,231,275,3505,419,180,807,132,173,1709,144,93,301,65,76,675,16,24,43,9,11,103,10,0,11,8,0,26,12,3,19,0,0,33,161,36,177,37,64,486,5493,1478,8006,1039,1532,17550,18,5,9,0,9,39,25,0
