SA2_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
101021007,46,49,51,1517,1582,1732,516,594,760,220,280,330,1253,1432,1886,0.8,0.8,0.8,907,1083,1429,2.3,2.3,2.2
101021008,35,37,38,1950,1928,1950,743,812,975,280,300,350,1822,2007,2334,0.8,0.8,0.8,1547,1692,1989,2.7,2.6,2.6
101021009,37,36,37,1755,1733,1700,749,837,996,280,280,330,1679,1844,2233,0.9,0.9,0.9,1264,1400,1703,2.1,2.1,2.1
101021010,35,35,36,1900,1842,1700,829,883,1104,270,270,310,1857,2001,2412,0.9,0.9,0.9,1398,1434,1796,2.2,2.2,2.1
101021012,34,36,37,2383,2167,2300,1029,1118,1357,335,375,430,2586,2789,3332,0.8,0.8,0.8,2393,2479,3014,3,2.9,2.9
101021610,0,29,31,0,2600,2600,0,1367,1629,0,465,531,0,2856,3444,0,0.8,0.8,0,2821,3363,0,3.2,3.1
101021611,40,42,42,2200,2383,2417,936,1044,1243,340,400,465,2357,2639,3117,0.8,0.8,0.8,2190,2431,2926,2.9,2.9,2.9
101031013,46,48,49,999,910,1083,463,577,704,133,165,200,1016,1397,1759,0.7,0.7,0.7,809,1048,1253,2.2,2.2,2.2
101031014,42,45,44,1242,1186,1300,518,608,771,185,230,290,1196,1413,1911,0.7,0.7,0.7,890,1009,1377,2.2,2.2,2.2
101031015,46,48,50,1380,1560,1627,532,634,794,175,205,290,1222,1525,2068,0.8,0.8,0.7,968,1228,1596,2.4,2.4,2.4
101031016,37,39,38,1600,1500,1729,648,761,912,250,290,380,1435,1765,2275,0.8,0.8,0.8,1188,1397,1911,2.5,2.4,2.5
101041017,48,52,51,1517,1452,1519,420,503,596,230,265,330,932,1137,1366,0.7,0.7,0.7,768,906,1120,2.3,2.2,2.2
101041018,50,54,54,1500,1517,1600,441,521,638,250,290,350,933,1199,1453,0.7,0.7,0.7,806,1000,1215,2.3,2.2,2.2
101041019,44,46,46,1300,1400,1517,490,586,704,200,270,320,1123,1345,1655,0.8,0.8,0.7,903,1061,1276,2.4,2.3,2.3
101041020,46,50,51,1200,1278,1300,422,496,603,180,220,265,990,1208,1457,0.9,0.8,0.8,848,982,1220,2.5,2.4,2.4
101041021,49,53,52,1517,1517,1733,469,596,738,225,280,360,1016,1366,1761,0.7,0.7,0.7,821,1060,1378,2.2,2.2,2.3
101041022,53,65,59,650,0,758,412,537,462,0,66,0,1083,1374,866,0.8,0.5,1.1,900,849,875,2.4,1.5,2.4
101041023,47,51,53,1398,1394,1517,414,486,573,190,240,270,975,1134,1345,0.8,0.7,0.7,792,851,1013,2.3,2.2,2.2
101041024,47,51,53,1300,1300,1387,440,512,639,178,200,300,979,1234,1502,0.8,0.8,0.8,833,1009,1290,2.4,2.4,2.3
101041025,51,54,54,1500,1500,1600,481,565,679,230,270,340,1017,1273,1614,0.7,0.7,0.7,864,1014,1235,2.2,2.1,2.1
101041026,50,54,56,1300,1353,1517,420,502,612,205,250,310,954,1174,1451,0.7,0.7,0.7,798,912,1150,2.3,2.2,2.2
101041027,55,58,59,1300,1300,1500,390,492,579,200,231,290,891,1123,1342,0.7,0.7,0.7,718,848,1017,2.1,2.1,2.1
101051539,40,40,40,1500,1517,1636,518,627,749,190,260,320,1280,1485,1911,0.8,0.7,0.7,960,1164,1418,2.4,2.4,2.3
101051540,46,47,48,1600,1600,1733,494,602,735,180,235,300,1236,1505,1922,0.8,0.8,0.7,981,1206,1516,2.4,2.5,2.5
101061541,39,41,42,1764,1763,1773,629,728,867,250,300,340,1583,1853,2185,0.8,0.8,0.8,1281,1470,1739,2.5,2.5,2.5
101061542,41,42,43,2100,2024,2275,795,921,1129,250,300,400,2001,2341,2916,0.8,0.8,0.8,1723,2063,2575,2.7,2.8,2.8
101061543,39,40,42,1300,1300,1300,441,535,661,189,230,250,1012,1234,1526,0.8,0.7,0.7,818,967,1170,2.5,2.4,2.4
