SA3_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
10102,3,0,27,38,34,12,11,5,0,102,33,25,9,7,3,3,80,5264,6520,3277,3358,1457,576,20458,2849,5920,3143,3547,1451,645,17553,813,496,208,124,31,17,1680,658,489,224,151,45,6,1572,1467,990,431,267,76,23,3262,687,225,87,46,15,4,1067,306,151,56,25,7,4,554,508,255,99,50,17,6,934,40,28,5,0,0,0,77,10,3,5,5,0,0,30,1554,659,261,131,42,20,2661,15,16,3,0,0,0,37,3,0,0,0,0,0,3,13,15,8,0,0,0,36,34,28,8,4,3,0,73,26,9,3,9,0,0,43,5927,7606,3847,3953,1577,691,23599
10103,0,0,27,60,33,7,5,0,0,112,107,78,28,21,6,5,244,2242,2696,945,865,360,139,7255,1846,2534,907,858,381,169,6688,112,56,11,17,4,6,205,71,46,30,23,6,0,174,189,101,41,36,12,4,385,212,141,63,26,12,8,463,25,20,5,7,4,0,54,5,7,0,0,0,0,8,0,0,0,0,0,0,0,8,7,7,3,0,0,22,250,171,70,31,15,9,551,17,9,0,0,0,0,19,3,0,0,0,0,0,9,11,5,3,5,0,3,26,29,16,8,5,0,3,60,28,20,4,8,0,0,59,2337,2843,1032,939,412,179,7739
10104,0,0,63,355,175,34,14,6,0,589,79,110,22,16,7,3,233,8695,12001,3257,2613,1133,616,28318,6747,11697,3132,2813,1219,659,26272,964,458,84,38,15,6,1571,538,392,81,43,16,10,1078,1506,856,164,77,33,13,2649,911,431,103,46,11,0,1500,55,38,3,0,0,0,94,24,14,0,0,0,0,38,0,0,0,0,0,0,5,26,11,5,0,0,0,43,1010,490,114,49,11,0,1679,314,175,22,5,5,8,526,5,3,0,0,0,0,11,12,20,3,0,0,0,42,333,196,24,10,3,8,576,60,47,6,9,3,0,126,9654,13285,3445,2952,1275,685,31301
10105,0,4,45,77,31,8,8,4,4,136,30,20,21,6,7,3,81,3869,4712,1816,1599,768,406,13180,3386,4845,1769,1675,828,445,12948,568,227,65,46,11,7,917,89,53,22,3,3,0,175,654,277,82,54,18,11,1096,205,49,22,11,3,0,286,49,9,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,19,264,65,22,17,5,0,367,33,11,0,0,0,0,44,0,0,0,0,0,0,4,22,17,0,0,4,0,47,52,27,0,0,0,0,91,24,3,4,3,0,0,38,4379,5216,1884,1749,855,453,14540
10106,3,0,37,46,46,11,8,3,0,102,45,32,12,9,4,6,108,3378,4819,1755,1818,925,407,13097,2966,4808,1820,1795,982,517,12876,400,138,49,21,8,5,620,10,13,6,3,0,0,31,412,149,52,21,8,3,647,154,50,9,3,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,11,154,51,9,6,0,0,223,26,14,0,6,0,0,42,4,0,0,0,0,0,3,14,6,3,4,6,0,28,40,21,6,3,8,0,76,38,15,5,10,0,3,73,3605,5046,1889,1831,995,527,13896
10201,0,4,159,352,193,76,48,12,9,692,156,76,21,25,9,3,298,16968,21335,9524,9597,3991,1786,63198,10296,17434,8344,9160,3773,1754,50761,3216,1973,396,201,54,29,5873,1447,1339,486,292,91,18,3674,4662,3314,885,495,148,50,9553,2075,1231,407,212,60,19,4006,512,372,105,55,7,3,1056,679,761,192,71,20,3,1729,191,176,64,24,0,0,450,92,99,27,25,6,8,267,3553,2643,797,377,101,36,7509,320,140,36,11,3,0,510,0,4,0,0,0,0,3,37,22,8,9,0,0,78,357,164,42,19,6,0,587,100,43,16,10,4,3,179,18975,23600,10086,10063,4026,1839,68590
10202,3,0,66,255,124,41,26,12,3,457,147,63,25,6,13,7,253,14987,19696,8655,8518,3991,1997,57847,11358,18119,8594,8524,3865,2004,52461,1997,1235,312,142,46,25,3757,1017,823,326,180,70,28,2440,3012,2055,639,325,117,47,6190,1500,661,182,89,23,13,2463,225,173,41,12,0,6,465,387,265,56,26,6,6,749,64,68,13,0,0,0,146,65,64,22,8,8,0,158,2243,1227,313,130,45,19,3982,197,102,9,9,5,0,314,0,4,3,0,0,0,9,22,28,8,3,4,0,68,219,133,15,14,3,0,390,48,27,11,6,5,0,99,16890,21562,9571,9003,4037,2073,63124
10301,4,0,21,18,21,3,5,6,0,57,144,47,12,6,0,5,218,4395,5631,2360,2327,1055,509,16277,3484,5693,2355,2287,1092,527,15434,765,370,122,55,18,11,1337,206,92,42,21,0,6,369,973,465,161,81,17,16,1706,462,161,35,23,0,3,691,13,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,18,488,174,38,23,0,3,727,14,7,4,0,0,0,27,4,0,0,0,0,0,4,5,8,0,4,0,3,16,21,14,4,3,7,4,51,25,10,10,8,0,0,49,4989,6363,2563,2393,1115,547,17974
10302,3,4,95,97,52,27,7,7,4,195,86,82,28,20,12,10,238,6269,7510,2615,2225,1304,655,20579,5448,7233,2556,2138,1238,623,19233,498,179,31,30,17,3,764,49,15,0,0,0,0,63,547,194,35,34,17,3,824,507,121,22,12,10,0,674,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,13,534,124,28,13,10,0,706,59,24,3,0,3,0,82,0,0,0,0,0,0,10,22,14,8,6,0,3,58,86,39,13,13,5,3,151,51,31,16,9,7,3,116,6665,7618,2642,2201,1274,634,21032
10303,26,13,341,191,152,50,44,30,12,475,62,58,19,9,5,4,151,5233,6078,2310,2088,969,448,17128,4659,6207,2248,2115,1052,501,16776,694,302,91,31,12,4,1143,77,22,12,6,5,0,117,774,326,100,34,14,3,1260,142,25,10,6,5,0,182,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,0,7,161,30,13,6,5,0,212,87,19,0,0,0,0,112,0,0,0,0,0,0,0,31,28,3,6,0,5,67,115,49,5,5,0,5,185,27,18,4,4,5,0,55,5735,6627,2377,2167,1076,509,18485
