SA3_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
10102,330,457,36,25,843,41,63,108,946,766,94,1810,1035,266,37,30,1363,54,17,67,1431,142,103,1679,1254,160,48,37,1491,42,9,51,1546,95,118,1760,1216,143,49,30,1438,28,3,30,1468,63,105,1642,1544,147,54,24,1770,22,5,23,1795,81,105,1984,1683,171,53,42,1949,35,9,41,1990,122,133,2245,1655,161,68,40,1930,31,7,39,1967,158,133,2260,1470,184,70,32,1758,24,7,31,1788,169,105,2064,1069,187,58,14,1328,29,10,35,1365,273,104,1746,677,207,48,24,952,11,12,27,977,479,83,1537,206,136,23,6,373,0,8,5,377,519,60,957,71,53,7,4,134,3,0,3,138,501,52,693,25,25,3,6,55,5,0,3,60,722,102,882,12220,2296,549,319,15384,323,144,473,15856,4095,1302,21252,254,515,22,34,825,45,95,139,963,803,106,1864,852,337,34,35,1251,62,27,87,1340,149,122,1613,1246,199,44,33,1526,48,11,60
10103,134,170,8,20,325,16,23,37,363,282,57,704,296,53,3,9,370,22,8,32,398,50,58,510,298,55,12,6,378,11,3,18,396,48,38,480,293,46,11,10,356,11,3,16,374,54,37,462,437,47,11,6,501,9,0,11,511,57,56,619,436,54,15,9,515,15,0,15,530,83,64,673,470,76,20,10,579,18,0,21,595,80,58,730,501,81,20,9,608,7,5,14,621,109,70,802,370,76,26,9,485,16,13,24,510,109,56,671,259,93,17,8,381,9,0,11,389,236,38,666,113,66,10,13,201,0,0,4,200,280,36,519,48,42,7,0,94,0,0,0,99,250,23,372,43,33,0,6,77,0,0,0,81,475,54,611,3697,893,164,120,4876,142,60,202,5071,2120,643,7826,110,141,9,10,275,11,9,19,292,265,44,605,283,124,5,19,425,22,9,26,452,58,63,572,360,72,6,13,446,16,0,13
10104,335,467,47,32,881,105,56,157,1041,997,100,2148,561,189,41,23,813,117,11,131,946,152,64,1156,596,174,27,23,820,82,11,92,909,138,76,1128,651,155,28,21,857,55,12,71,930,132,67,1120,890,220,40,36,1194,80,11,93,1284,221,91,1599,1042,264,54,44,1400,81,24,108,1509,267,115,1894,1204,295,46,38,1575,75,23,103,1683,379,116,2178,1306,467,73,43,1889,63,29,92,1988,496,112,2599,1115,466,100,35,1718,68,40,104,1825,801,150,2776,698,474,72,19,1263,54,45,105,1367,1553,147,3069,200,248,26,15,492,7,10,14,507,1946,120,2572,74,95,22,6,197,5,9,9,207,1702,144,2053,44,56,8,9,113,0,0,0,120,2786,276,3178,8714,3577,587,351,13224,801,286,1082,14309,11578,1575,27464,246,449,29,31,756,62,58,123,879,832,116,1826,554,268,25,37,885,113,29,141,1025,152,100,1280,609,193,21,27,855,88,9,98
10105,243,240,17,13,516,50,44,88,608,512,38,1157,471,114,20,20,620,42,18,59,683,147,36,866,475,77,15,19,578,45,5,52,635,179,36,845,547,68,20,17,659,32,10,37,697,140,36,873,644,91,19,19,775,30,3,37,807,154,32,1002,692,103,25,26,852,35,3,35,881,173,44,1101,809,116,22,23,971,31,4,35,1008,185,56,1252,760,104,36,27,926,24,7,30,961,179,41,1182,632,110,38,4,789,25,10,30,815,258,54,1133,458,158,23,18,659,20,14,30,687,432,55,1173,179,96,12,3,290,3,0,0,292,611,40,945,79,58,0,6,145,0,6,6,154,514,39,709,59,55,9,12,132,0,0,0,128,881,133,1150,6048,1393,251,217,7916,322,117,442,8354,4367,663,13387,186,262,16,8,477,35,36,73,552,467,78,1095,526,151,13,20,715,63,18,80,793,208,62,1066,556,107,17,9,692,47,16,58
10106,232,229,22,17,496,33,38,71,572,530,48,1139,466,107,13,30,614,33,7,37,650,72,42,766,479,54,14,12,560,30,3,31,598,45,43,682,540,80,20,21,655,16,12,27,679,58,34,773,815,95,19,22,959,24,5,31,986,87,48,1122,841,109,23,19,996,32,7,37,1030,90,69,1191,887,127,28,21,1068,21,3,28,1093,106,54,1245,835,128,21,19,1002,33,10,46,1049,163,75,1279,624,149,32,11,823,13,4,18,842,235,44,1113,465,185,46,25,717,20,8,25,749,432,54,1237,223,104,22,13,359,6,6,3,363,531,46,938,91,68,9,12,180,0,4,7,182,513,43,738,51,45,8,12,114,0,0,0,114,817,99,1030,6549,1478,283,223,8536,263,101,364,8903,3661,693,13259,187,239,9,21,460,24,43,68,522,522,59,1104,432,136,17,28,618,41,18,55,671,91,56,819,484,107,4,18,617,28,12,42
10201,710,1300,92,79,2180,242,308,548,2730,2631,255,5616,2194,984,110,106,3401,326,90,419,3818,565,256,4632,2469,497,94,98,3159,205,33,246,3403,349,261,4010,2769,390,113,80,3353,147,18,162,3517,317,211,4045,3449,473,128,83,4137,148,20,178,4313,368,263,4943,3588,501,124,100,4312,165,27,191,4507,403,264,5170,3727,545,133,96,4494,158,33,194,4688,521,289,5494,3576,579,142,96,4387,143,32,175,4564,727,325,5613,2834,618,164,56,3676,133,47,180,3857,998,244,5099,1644,775,129,47,2594,89,54,146,2739,1893,245,4879,519,479,35,11,1046,6,27,38,1081,2770,253,4097,118,216,17,10,365,5,9,4,368,2567,218,3155,47,111,16,9,189,0,4,6,188,5536,678,6406,27651,7462,1299,877,37288,1780,699,2489,39769,19644,3744,63160,565,1272,70,46,1960,169,333,503,2459,2413,234,5114,1983,1189,71,83,3329,282,139,425,3753,664,225,4644,2709,577,84,74,3444,209,65,269
10202,756,1094,92,87,2027,354,260,611,2638,2428,231,5297,1968,772,80,119,2943,397,89,483,3423,506,168,4096,2446,400,77,87,3015,218,49,263,3283,291,179,3752,2542,357,88,87,3074,187,25,215,3295,345,180,3818,2979,397,93,91,3563,174,24,195,3758,429,233,4420,3099,427,104,104,3730,174,30,204,3932,540,219,4700,3153,447,105,91,3797,167,30,195,3995,597,208,4803,2865,474,137,85,3559,158,32,186,3750,723,215,4687,2179,498,117,67,2867,134,32,168,3027,1065,221,4306,1236,484,92,35,1848,98,34,132,1979,1974,211,4164,334,286,44,16,683,5,17,26,708,2727,209,3643,62,130,17,4,212,4,5,9,220,2759,199,3181,15,54,18,13,94,6,0,7,101,4988,589,5677,23645,5815,1072,881,31415,2064,627,2695,34109,19381,3054,56545,699,1180,70,53,2001,261,303,565,2569,2214,228,5005,2115,970,93,115,3285,347,113,471,3756,616,249,4621,2571,547,71,76,3271,211,38,254
10301,289,307,42,13,654,49,76,125,778,878,83,1738,794,292,39,24,1148,78,59,138,1290,456,98,1843,824,101,24,32,983,46,11,64,1044,247,55,1347,785,88,24,23,924,26,11,33,961,222,67,1246,912,100,23,20,1063,30,7,37,1098,185,62,1339,972,95,37,26,1124,37,0,34,1163,195,68,1424,959,117,33,35,1147,31,11,42,1187,181,58,1417,956,129,41,17,1142,28,8,35,1172,191,64,1428,884,134,40,9,1073,26,3,31,1102,221,56,1385,489,156,29,13,691,21,12,32,723,485,68,1272,198,136,18,5,353,0,9,7,358,606,76,1045,54,73,5,4,137,0,4,4,137,519,41,697,34,49,10,7,95,0,0,0,95,901,96,1096,8150,1776,363,235,10524,374,202,576,11102,5294,886,17280,205,319,17,23,562,48,97,151,712,866,124,1700,627,312,45,27,1007,105,68,177,1182,458,173,1812,908,172,22,25,1128,43,16,58
10302,363,294,27,22,708,66,32,99,803,911,76,1790,798,142,23,22,985,88,16,110,1092,147,101,1345,807,112,24,26,963,63,13,73,1044,97,76,1215,875,102,30,30,1036,57,0,62,1097,133,88,1320,1014,79,30,40,1166,52,3,59,1224,146,86,1449,1073,118,28,38,1260,47,9,58,1317,224,92,1627,1208,144,45,39,1429,39,18,57,1482,270,77,1833,1217,164,50,36,1464,54,15,67,1527,335,85,1954,1065,197,54,32,1346,44,16,66,1414,390,106,1910,759,203,40,23,1028,31,12,44,1072,723,100,1889,339,158,27,12,542,0,0,11,554,866,105,1521,166,106,16,19,304,0,0,0,304,940,104,1352,118,100,22,20,263,0,5,5,261,1756,227,2247,9805,1909,419,363,12491,543,144,690,13182,6940,1323,21445,285,295,23,29,633,69,41,114,741,779,138,1667,774,190,17,32,1019,108,23,131,1150,193,143,1479,807,152,31,19,1013,71,9,80
10303,305,243,15,19,580,80,45,125,707,700,81,1483,642,118,16,25,807,84,17,96,903,183,77,1160,689,79,16,30,814,60,12,71,882,140,72,1096,659,73,17,34,780,58,4,62,838,139,60,1042,835,93,40,27,1003,51,0,56,1053,175,96,1327,952,108,31,31,1130,53,8,57,1182,206,98,1485,976,139,37,24,1172,52,8,64,1238,247,102,1581,982,157,46,30,1218,48,10,62,1277,313,79,1663,758,168,43,24,987,40,15,56,1044,324,96,1461,506,204,50,26,781,32,18,51,831,709,89,1625,196,130,20,6,359,0,0,5,359,957,78,1391,82,73,0,6,157,0,0,0,164,777,71,1003,44,43,3,6,96,0,0,5,99,1206,149,1455,7640,1609,343,290,9880,552,142,692,10575,6062,1135,17770,215,236,24,18,492,53,29,83,576,687,113,1375,605,142,16,21,787,104,32,137,923,188,113,1221,734,99,22,22,871,75,14,88
