SA4_CODE_2021,C21_15_19_NonInd_F,C21_15_19_NonInd_P,C21_15_19_Ind_st_ns_M,C21_15_19_Ind_st_ns_F,C21_15_19_Ind_st_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Indigen_M,C21_20_24_Indigen_F,C21_20_24_Indigen_P,C21_20_24_NonInd_M,C21_20_24_NonInd_F,C21_20_24_NonInd_P,C21_20_24_Ind_st_ns_M,C21_20_24_Ind_st_ns_F,C21_20_24_Ind_st_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Indigen_M,C21_25_29_Indigen_F,C21_25_29_Indigen_P,C21_25_29_NonInd_M,C21_25_29_NonInd_F,C21_25_29_NonInd_P,C21_25_29_Ind_st_ns_M,C21_25_29_Ind_st_ns_F,C21_25_29_Ind_st_ns_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Indigen_M,C21_30_34_Indigen_F,C21_30_34_Indigen_P,C21_30_34_NonInd_M,C21_30_34_NonInd_F,C21_30_34_NonInd_P,C21_30_34_Ind_st_ns_M,C21_30_34_Ind_st_ns_F,C21_30_34_Ind_st_ns_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Indigen_M,C21_35_39_Indigen_F,C21_35_39_Indigen_P,C21_35_39_NonInd_M,C21_35_39_NonInd_F,C21_35_39_NonInd_P,C21_35_39_Ind_st_ns_M,C21_35_39_Ind_st_ns_F,C21_35_39_Ind_st_ns_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Indigen_M,C21_40_44_Indigen_F,C21_40_44_Indigen_P,C21_40_44_NonInd_M,C21_40_44_NonInd_F,C21_40_44_NonInd_P,C21_40_44_Ind_st_ns_M,C21_40_44_Ind_st_ns_F,C21_40_44_Ind_st_ns_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Indigen_M,C21_45_49_Indigen_F,C21_45_49_Indigen_P,C21_45_49_NonInd_M,C21_45_49_NonInd_F,C21_45_49_NonInd_P,C21_45_49_Ind_st_ns_M,C21_45_49_Ind_st_ns_F,C21_45_49_Ind_st_ns_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Indigen_M,C21_50_54_Indigen_F,C21_50_54_Indigen_P,C21_50_54_NonInd_M,C21_50_54_NonInd_F,C21_50_54_NonInd_P,C21_50_54_Ind_st_ns_M,C21_50_54_Ind_st_ns_F,C21_50_54_Ind_st_ns_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Indigen_M,C21_55_59_Indigen_F,C21_55_59_Indigen_P,C21_55_59_NonInd_M,C21_55_59_NonInd_F,C21_55_59_NonInd_P,C21_55_59_Ind_st_ns_M,C21_55_59_Ind_st_ns_F,C21_55_59_Ind_st_ns_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Indigen_M,C21_60_64_Indigen_F,C21_60_64_Indigen_P,C21_60_64_NonInd_M,C21_60_64_NonInd_F,C21_60_64_NonInd_P,C21_60_64_Ind_st_ns_M,C21_60_64_Ind_st_ns_F,C21_60_64_Ind_st_ns_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_over_Indigen_M,C21_65_over_Indigen_F,C21_65_over_Indigen_P,C21_65over_NonInd_M,C21_65over_NonInd_F,C21_65over_NonInd_P,C21_65over_Indig_st_ns_M,C21_65over_Indig_st_ns_F,C21_65over_Indig_st_ns_P,C21_65_over_Tot_M,C21_65_over_Tot_F,C21_65_over_Tot_P,C21_Tot_Indig_M,C21_Tot_Indig_F,C21_Tot_Indig_P,C21_Tot_NonInd_M,C21_Tot_NonInd_F,C21_Tot_NonInd_P,C21_Tot_Indig_st_ns_M,C21_Tot_Indig_st_ns_F,C21_Tot_Indig_st_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101,5234,10989,429,358,789,6696,6085,12785,426,373,798,4899,4514,9420,352,310,662,5678,5199,10876,386,324,709,5578,5656,11228,420,410,831,6388,6386,12766,272,281,553,6168,6437,12602,428,402,828,6872,7116,13984,261,283,546,6201,6399,12598,396,430,818,6852,7113,13964,247,240,486,5671,6195,11869,385,412,801,6305,6848,13156,266,280,538,6757,6872,13625,457,405,860,7478,7551,15025,268,286,557,7189,7776,14957,484,431,910,7936,8485,16423,244,254,493,7767,8032,15799,583,504,1088,8589,8784,17373,188,202,395,8203,8365,16571,555,479,1032,8941,9052,17998,334,368,704,24007,25199,49209,1641,1648,3285,25989,27215,53205,5122,5013,10137,106553,107719,214274,7411,6989,14398,119088,119720,238810
102,8513,17641,478,402,874,10523,9754,20276,748,727,1475,8227,7971,16196,405,406,813,9383,9107,18486,598,621,1221,8145,8254,16399,488,441,936,9235,9314,18552,504,536,1042,8419,9183,17602,459,463,925,9385,10187,19570,411,487,903,9095,9852,18946,453,481,939,9965,10826,20786,387,442,828,9119,9712,18835,443,469,909,9954,10620,20567,371,420,786,9740,10445,20185,488,485,975,10598,11343,21944,362,441,807,9931,10623,20554,494,384,876,10791,11447,22238,322,407,727,10037,10814,20852,442,459,901,10807,11674,22485,257,315,572,9821,11225,21045,401,378,779,10482,11913,22398,485,575,1055,32599,39537,72132,1594,2155,3748,34674,42264,76941,8392,8655,17047,152076,162064,314135,7513,7909,15418,167980,178618,346596
103,4837,10205,437,372,808,6682,6010,12689,729,682,1412,4653,4325,8980,423,352,769,5806,5354,11161,629,631,1259,4997,5125,10123,375,360,728,6000,6114,12117,499,548,1047,5366,5505,10869,404,424,827,6267,6473,12743,421,434,855,5303,5470,10774,440,393,834,6164,6300,12463,385,387,774,4960,5111,10074,429,379,811,5775,5880,11656,398,447,842,5431,5700,11131,414,407,819,6245,6553,12795,407,435,841,5741,5960,11702,457,412,868,6607,6806,13410,364,382,747,6077,6201,12278,493,422,909,6930,7003,13933,275,304,575,6255,6312,12570,457,387,844,6984,7004,13986,535,550,1090,19514,21215,40724,1393,1427,2817,21448,23195,44641,8659,8495,17154,90464,91569,182039,7077,6693,13773,106203,106759,212962
104,3166,6550,259,253,511,4101,3849,7950,403,391,797,2683,2509,5195,201,176,381,3291,3073,6369,347,324,670,2952,2996,5945,230,256,492,3533,3580,7112,320,290,613,3280,3508,6782,277,241,519,3879,4038,7919,283,254,544,3424,3620,7043,248,254,494,3955,4130,8083,205,245,449,3277,3609,6886,294,262,552,3776,4115,7891,230,254,487,3746,4084,7834,290,259,550,4272,4593,8867,229,264,495,3867,4356,8229,272,249,526,4364,4873,9238,194,220,415,4332,4796,9135,288,269,560,4815,5289,10105,188,185,371,4879,5346,10224,312,242,554,5376,5775,11144,283,362,649,16222,17672,33896,951,1116,2067,17459,19152,36614,4767,4743,9512,62336,65573,127907,4395,4318,8706,71497,74634,146127
105,1885,3982,411,340,746,3408,3133,6541,769,754,1522,1926,1881,3806,340,314,660,3038,2945,5979,708,775,1482,2699,2797,5500,395,405,795,3800,3975,7776,600,634,1235,2784,2904,5692,396,395,794,3780,3935,7714,497,521,1019,2545,2575,5119,340,413,750,3375,3507,6887,396,459,853,2222,2303,4526,345,373,715,2962,3130,6094,468,520,984,2351,2385,4729,324,336,660,3140,3235,6376,477,581,1062,2632,2657,5282,358,375,737,3472,3616,7087,446,457,905,2848,2955,5808,413,363,772,3703,3776,7479,383,426,808,3136,3135,6268,344,329,674,3861,3885,7745,703,781,1487,9253,9907,19169,1092,1256,2339,11048,11942,22992,9690,9900,19593,41544,42205,83752,6085,6138,12222,57315,58251,115566
106,6906,14385,452,350,800,9202,8383,17584,949,944,1900,6923,6554,13475,453,356,810,8325,7855,16178,880,828,1708,7536,7702,15236,439,383,821,8854,8912,17758,786,763,1549,7975,8364,16334,484,384,870,9244,9514,18755,617,681,1302,7874,8246,16124,414,372,782,8908,9304,18209,556,537,1089,7560,7589,15148,408,369,780,8522,8496,17016,519,589,1111,7883,8202,16085,399,384,779,8798,9177,17977,484,529,1015,8103,8397,16499,395,348,741,8984,9273,18252,409,477,886,8170,8500,16675,431,378,807,9012,9355,18370,342,409,751,8371,8795,17169,400,308,713,9119,9517,18634,567,674,1239,25148,27331,52484,1217,1364,2582,26936,29376,56303,11729,11581,23309,126628,129031,255659,6789,6190,12978,145140,146804,291946
107,8474,17158,398,372,770,9703,9419,19124,539,563,1104,9845,9518,19362,452,406,861,10836,10487,21328,426,435,863,9417,9063,18485,439,402,840,10288,9903,20186,359,352,712,8863,9465,18323,400,377,777,9618,10197,19809,292,306,600,8859,9405,18264,379,387,768,9528,10099,19627,224,274,500,8675,9048,17721,359,358,714,9261,9685,18940,266,292,556,9157,9656,18815,387,352,742,9809,10301,20112,230,284,517,8740,9290,18037,327,279,605,9307,9853,19159,196,252,454,9134,9553,18686,318,287,604,9650,10089,19743,183,213,397,8849,9596,18441,312,262,575,9339,10071,19407,315,331,643,26311,30730,57046,1154,1438,2591,27787,32495,60283,5576,5713,11287,142485,148089,290575,6005,5968,11974,154066,159771,313842
108,4728,9707,413,358,772,6267,5942,12206,688,589,1275,3824,3658,7478,318,285,601,4835,4529,9356,572,543,1108,3859,4012,7869,326,334,655,4750,4878,9633,474,513,984,4029,4502,8531,297,328,632,4804,5338,10145,456,417,867,4285,4797,9087,353,331,686,5094,5548,10643,366,376,743,4549,5026,9573,308,357,667,5222,5758,10986,378,438,820,5359,5856,11211,378,360,739,6114,6661,12772,356,460,807,5915,6528,12449,411,361,773,6680,7354,14031,368,438,809,6766,7606,14374,471,432,901,7602,8479,16082,353,427,779,7980,9028,17007,461,465,923,8799,9920,18715,650,721,1376,30654,33195,63843,1639,1776,3412,32939,35688,68630,8445,8622,17069,96339,102536,198879,6545,6542,13086,111336,117699,229035
109,2981,6060,274,240,511,3602,3485,7090,186,213,398,2714,2661,5376,251,201,446,3152,3073,6222,157,167,318,3078,2945,6030,282,249,532,3517,3361,6878,126,149,274,2842,3187,6024,255,253,504,3224,3582,6805,114,142,255,2906,3199,6107,257,252,512,3280,3595,6870,91,106,202,2910,3103,6013,242,239,484,3248,3458,6703,105,126,231,3093,3311,6403,268,243,518,3469,3684,7150,116,134,248,3356,3535,6893,289,228,522,3759,3901,7660,97,126,226,3552,3768,7318,294,287,578,3944,4178,8126,91,108,197,3938,4181,8120,308,270,578,4334,4557,8897,185,181,372,12791,13777,26567,936,979,1912,13913,14938,28850,2446,2555,5002,53951,55871,109819,4520,4213,8734,60918,62639,123552
110,4053,8175,569,627,1200,5771,5790,11556,853,888,1738,3723,3602,7325,597,553,1148,5172,5044,10211,692,830,1526,4191,4250,8440,526,504,1029,5406,5583,10994,591,670,1257,4144,4535,8677,510,511,1023,5240,5716,10960,533,554,1088,4078,4301,8383,500,515,1010,5111,5371,10477,450,555,1008,3829,4115,7942,448,446,904,4735,5117,9852,464,554,1015,4235,4485,8719,481,485,972,5176,5519,10705,478,590,1067,4555,4712,9266,520,473,992,5551,5774,11325,469,523,988,4934,5134,10059,518,516,1032,5913,6165,12083,409,455,866,5207,5465,10673,504,462,960,6124,6379,12506,752,807,1559,16494,18197,34689,1533,1612,3148,18773,20616,39391,10802,11257,22058,72109,74717,146824,8356,8324,16680,91262,94298,185560
