SA4_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
101,775,579,1268,1400,1664,1665,1634,1167,459,10620,1139,2614,7776,9080,10748,10758,8495,3861,1139,55604,0,18,685,928,972,932,755,339,51,4683,0,0,129,230,369,381,401,102,13,1628,0,327,1847,1832,1811,1756,1733,695,147,10150,8,130,888,1317,1593,1588,1316,512,110,7449,233,1460,4377,4095,4564,5065,3867,1754,432,25852,64,115,196,156,121,130,97,38,3,919,18,56,145,193,232,355,367,161,45,1569,317,1631,4708,4440,4915,5558,4330,1961,487,28342,6,10,52,53,78,99,128,53,23,513,575,470,1313,1150,1382,1557,1440,958,437,9271,905,2595,9621,9945,11119,11864,10103,4618,1266,62034,0,11,294,534,508,475,160,28,3,2004,0,19,266,415,521,520,183,33,6,1967,4,344,2004,2412,2147,1699,837,263,75,9775,27,323,1052,1698,1720,1586,852,300,103,7652,208,887,1903,2076,1984,1251,399,117,52,8867,115,168,309,376,327,207,81,23,15,1617,28,104,228,427,496,485,247,87,32,2127
102,826,642,1270,1339,1619,1654,1762,1542,947,11593,1421,3846,11811,13500,14299,13382,10771,6041,2426,77496,0,21,687,1056,904,910,753,320,57,4720,0,14,150,257,298,335,395,121,22,1600,7,578,2838,3156,2660,1977,1977,901,212,14300,30,337,1301,2121,2439,2048,1517,759,186,10744,432,2142,6215,6350,6756,6966,5283,3210,831,38179,136,183,254,216,189,172,152,93,9,1402,27,97,218,332,469,524,583,323,77,2649,595,2421,6690,6890,7409,7666,6015,3629,912,42232,20,30,76,133,129,147,158,142,33,868,585,524,1239,1293,1380,1314,1436,1328,891,9973,1237,3932,12985,14909,15222,14397,12248,7192,2322,84440,0,21,328,550,499,416,152,51,0,2029,0,15,265,389,507,398,152,55,3,1787,9,674,3217,3182,2508,1784,822,396,85,12673,65,675,1828,2875,2525,1977,1134,523,118,11701,459,1738,3558,3357,3158,1656,655,338,127,15040,229,295,481,537,479,358,101,46,16,2550,79,205,415,697,796,743,422,153,62,3582
103,878,905,1601,1458,1675,1598,1683,1100,406,11297,1298,3161,8232,8165,8775,8245,6386,2981,873,48117,0,17,384,461,422,406,382,156,34,2265,0,8,81,166,184,187,194,54,8,871,0,271,1456,1454,1295,1009,989,377,73,6925,8,116,589,847,1140,1080,819,342,76,5012,254,1555,4479,4013,4109,4263,2994,1438,329,23427,73,119,202,154,146,134,90,37,9,957,13,60,144,158,181,276,298,169,29,1324,343,1731,4821,4327,4425,4668,3381,1638,367,25703,11,17,54,63,61,79,60,56,19,421,581,659,1444,1435,1295,1333,1310,924,360,9345,950,2817,8833,8750,8813,8765,7135,3548,934,50543,0,17,172,296,260,239,81,12,5,1086,0,17,162,242,330,295,100,35,3,1187,4,478,2117,1957,1472,1200,538,241,66,8064,30,278,887,1304,1406,1215,662,292,71,6154,280,1052,2174,2029,1775,973,306,123,44,8770,129,223,341,368,320,230,68,15,8,1707,42,119,222,418,453,387,196,61,23,1929
104,463,334,691,712,854,1070,1026,775,374,6305,710,1512,4138,4825,5724,6861,5353,2626,892,32637,0,8,160,268,310,278,335,125,25,1501,0,0,64,96,128,190,227,62,8,773,0,111,858,1010,1039,897,1010,336,83,5360,4,60,375,626,810,870,771,351,81,3956,140,801,2344,2387,2640,3269,2843,1317,348,16085,61,78,132,105,75,91,89,18,10,664,15,35,102,137,154,207,265,129,42,1077,214,913,2581,2620,2868,3569,3192,1467,401,17825,9,13,40,35,36,55,56,58,15,318,357,390,1041,950,895,869,867,651,334,6368,588,1500,5128,5611,6082,6724,6469,3058,941,36098,0,4,78,172,186,184,88,19,3,735,0,9,82,191,220,259,63,8,3,836,0,236,1065,1291,1257,1045,409,168,38,5504,28,167,558,939,1135,984,520,181,43,4554,163,605,1212,1411,1617,917,267,106,31,6323,87,149,202,223,285,164,52,18,3,1181,35,89,156,224,356,359,160,57,31,1470
105,466,509,1113,906,994,1038,955,612,271,6863,684,1659,4675,4151,4385,4259,2981,1382,484,24667,0,15,331,262,139,117,80,24,5,962,0,5,58,85,84,74,55,6,0,361,0,132,861,665,502,383,327,104,16,2998,0,48,355,455,479,511,260,108,35,2250,121,663,2312,1856,1877,2048,1457,650,167,11149,39,67,106,64,58,62,35,11,5,448,16,30,71,77,105,111,118,70,16,600,173,757,2484,1999,2040,2226,1603,734,179,12191,3,14,33,22,22,38,33,22,9,194,506,485,1242,1042,964,988,907,633,255,7004,677,1452,5366,4518,4229,4341,3258,1629,500,25970,0,7,117,118,126,92,28,12,0,497,0,10,89,147,172,136,41,10,0,604,0,311,1332,1037,774,558,235,87,24,4358,3,135,458,641,731,512,261,103,26,2880,137,596,1145,1141,1089,580,157,56,14,4920,82,155,238,193,167,105,28,8,3,983,16,70,108,199,228,185,80,27,15,934
106,818,756,1665,1584,1611,1576,1590,1077,461,11136,1277,3697,10793,11275,11551,10621,8150,3787,1074,62216,0,16,328,503,461,493,438,155,23,2417,0,3,105,153,186,226,243,59,3,980,3,321,1610,1569,1385,1242,1311,539,100,8084,23,198,999,1574,1728,1627,1239,513,90,7997,404,2189,7258,6753,6574,6458,4714,2314,458,37111,125,181,317,214,148,131,117,45,6,1283,31,84,191,214,268,323,373,207,55,1735,551,2454,7761,7181,6992,6904,5205,2566,512,40128,13,18,53,80,82,93,102,61,26,517,612,693,1752,1561,1452,1355,1277,1004,410,10118,1200,3690,12606,12618,12293,11947,9815,4906,1168,70241,0,10,202,290,280,238,82,17,0,1120,0,8,171,291,334,252,72,17,6,1146,3,515,2268,2037,1514,1284,568,189,43,8424,54,426,1364,1795,1695,1334,665,236,66,7640,359,1538,3078,2926,2350,1192,352,172,49,12000,163,291,495,475,426,230,93,17,5,2197,60,121,330,493,543,478,274,83,33,2430
107,653,689,1225,1146,1305,1345,1398,1202,581,9535,1245,5117,13330,13479,13292,12288,8550,4454,1533,73294,0,103,1603,1570,1222,1135,881,328,52,6901,0,16,266,387,332,360,361,96,23,1837,0,1220,4181,3174,2732,2076,1743,637,146,15911,39,452,1508,2121,2331,1888,1278,487,118,10226,403,2437,6245,5776,5871,6115,4411,2371,715,34352,115,160,217,184,138,138,107,57,12,1134,34,90,213,247,289,416,467,242,47,2040,549,2682,6681,6209,6299,6679,4981,2670,774,37529,11,30,68,108,97,113,132,92,27,678,490,618,1159,1042,1028,983,992,1006,615,7924,1094,5117,15467,14614,14045,13228,10360,5318,1746,81001,0,76,862,881,787,604,166,32,6,3412,0,64,429,434,524,462,101,24,5,2054,10,1230,3718,3275,2378,1553,653,246,75,13125,74,785,1772,2385,2222,1662,771,293,80,10046,374,1549,3024,2735,2505,1189,413,200,74,12072,165,257,489,438,412,229,103,33,9,2131,52,184,353,657,752,552,301,139,40,3016
108,721,508,981,984,1362,1679,1941,1488,771,10427,1095,2097,5471,6820,8569,10449,9736,5146,1821,51192,0,9,232,364,388,371,487,213,36,2109,0,0,60,126,191,234,316,84,10,1019,0,157,997,1172,1235,1270,1560,677,160,7220,6,97,450,848,1145,1301,1506,615,173,6140,270,1231,3323,3431,4344,5584,5390,2865,733,27178,67,136,180,144,141,133,146,62,11,1023,31,56,110,180,214,324,446,266,64,1691,375,1423,3611,3752,4705,6034,5987,3197,803,29896,10,15,32,49,58,87,129,83,28,495,588,536,1126,1099,1104,1434,1613,1288,616,9410,987,2247,6512,7401,8818,10734,11602,6157,1828,56281,0,4,103,184,237,229,76,15,3,848,0,5,88,254,308,309,107,32,6,1108,0,239,1133,1597,1456,1393,729,294,69,6918,30,215,792,1329,1728,1519,1026,405,88,7111,239,847,1807,2153,2535,1437,531,229,85,9863,140,206,336,346,405,268,113,34,6,1860,45,108,224,356,576,529,335,124,37,2345
109,433,356,615,596,747,932,954,702,300,5634,661,1632,4341,4316,4524,4786,3611,1813,606,26292,0,15,259,225,197,185,136,53,9,1070,0,0,65,99,113,134,104,34,3,555,0,164,820,900,696,551,505,169,39,3848,6,72,519,549,648,631,540,225,46,3233,119,834,2425,2179,2261,2436,1978,905,225,13365,30,62,79,73,69,69,46,17,5,455,9,27,58,94,111,127,148,66,20,656,163,924,2564,2348,2449,2628,2172,988,245,14471,5,9,24,27,24,17,40,30,5,184,354,292,648,622,703,802,852,606,287,5167,525,1473,4895,4771,4832,4957,4338,2101,634,28527,0,10,141,138,148,88,28,3,0,557,0,7,135,207,219,170,42,7,0,800,0,281,1285,1114,912,636,312,103,35,4668,25,179,587,708,809,636,356,131,32,3454,150,582,1130,1145,1060,678,187,92,24,5050,80,135,198,175,176,137,27,11,6,948,21,60,105,191,207,154,89,29,13,863
110,868,596,1166,1161,1336,1495,1460,997,338,9424,1285,2446,6660,6575,7041,7113,5330,2614,686,39742,0,19,374,437,378,366,330,165,38,2107,0,3,81,132,156,132,157,52,7,729,0,243,1289,1131,994,787,796,276,61,5574,9,88,487,712,877,781,638,263,56,3906,233,1130,3311,3057,2969,3267,2500,1234,263,17959,74,140,200,119,111,119,55,36,4,846,29,52,97,111,188,225,219,108,19,1046,330,1316,3608,3287,3266,3606,2767,1382,283,19843,12,16,46,45,50,58,59,46,15,343,732,713,1283,1200,1278,1368,1285,912,359,9123,1083,2391,7164,6941,6994,7102,6036,3092,825,41623,0,17,208,297,311,251,98,28,0,1201,0,23,189,299,306,284,78,15,9,1205,3,442,1769,1672,1375,1131,526,191,75,7176,18,251,737,1170,1353,965,597,231,54,5381,274,856,1813,1745,1719,1003,281,93,26,7818,112,252,325,298,260,194,73,11,6,1534,53,103,194,319,392,357,152,56,20,1653
