SA4_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101,4522,1631,6151,4588,1749,6331,4652,1971,6620,325,38,361,442,54,495,524,81,609,4000,1348,5343,3089,1214,4303,3240,1342,4576,1162,276,1440,1076,225,1301,1227,301,1524,7620,915,8539,8198,946,9140,10653,1519,12177,1586,677,2263,1186,503,1690,1256,591,1853,4441,5924,10370,4023,5507,9525,4149,5634,9785,3144,4513,7655,3363,4527,7897,3691,4671,8363,2851,825,3675,2746,806,3554,2841,801,3639,575,535,1103,603,472,1075,576,428,1011,467,964,1432,406,846,1252,456,858,1310,601,768,1371,636,784,1421,631,868,1498,2498,2514,5012,2421,2552,4974,3079,3228,6306,1179,1290,2469,1299,1687,2990,1543,1806,3342,7046,6418,13464,6986,6703,13691,7989,8337,16328,2036,4731,6768,1964,5381,7344,2168,6516,8687,1822,8401,10225,2095,9223,11318,2570,11027,13598,883,693,1576,925,811,1737,963,924,1883,1977,1469,3446,2057,1536,3595,2211,1833,4048,1189,808,2003,2343,1356,3698,2629,1640,4262,49930,44734,94668,50446,46886,97338,57054,54365,111423
102,594,317,910,708,403,1114,779,463,1245,657,54,717,689,70,764,683,75,760,8570,2906,11472,6344,2390,8728,6408,2564,8971,1618,237,1853,1336,214,1554,1261,273,1536,11122,1465,12583,13998,1722,15723,15181,2205,17381,2975,1548,4529,2225,1213,3442,2175,1120,3300,6759,9661,16424,6373,9118,15491,6501,8915,15419,3945,5538,9481,4405,6177,10584,4760,5799,10559,4695,993,5683,4181,1077,5260,4400,1198,5600,1666,927,2601,1775,905,2685,1617,992,2608,1765,2375,4137,2197,2465,4660,2213,2716,4929,992,1179,2169,1098,1338,2433,1071,1276,2353,3797,3371,7173,4018,3501,7521,4741,4260,8995,2179,2340,4518,2393,2590,4986,2540,2399,4939,4960,3394,8353,4927,3774,8698,4930,4243,9173,2870,6546,9415,3016,7695,10708,3359,9052,12405,3755,14860,18617,4470,16945,21416,5715,21068,26789,1057,908,1958,1139,989,2127,1049,949,2000,2942,2448,5387,3078,2788,5869,3097,2707,5803,1786,1247,3032,3708,2131,5839,3699,2385,6083,68702,62310,131014,72083,67507,139595,76165,74670,150834
103,6225,2355,8577,6042,2274,8314,5874,2326,8202,4623,539,5158,4153,465,4620,4977,724,5701,5443,1617,7061,3974,1278,5252,4065,1408,5476,1127,255,1386,950,177,1123,967,185,1146,4906,675,5584,5451,747,6195,6501,974,7479,1622,700,2325,1315,507,1824,1360,576,1944,3402,5512,8916,3352,5196,8545,3419,5100,8518,1985,3737,5719,2203,3722,5921,2599,3799,6395,2922,795,3714,2549,726,3278,2623,865,3486,406,362,770,387,370,756,319,317,636,365,842,1209,400,804,1205,444,791,1237,412,510,920,450,516,971,458,545,1004,1457,1618,3074,1323,1720,3046,1508,1913,3417,900,1146,2044,918,1450,2364,1016,1594,2610,3245,2440,5689,3273,2827,6108,3533,3477,7006,2017,5503,7515,1943,5990,7927,2032,6846,8876,1798,8392,10187,2195,9190,11382,2795,11433,14232,361,328,685,414,404,819,420,482,901,1957,1328,3284,1978,1414,3394,2062,1632,3690,1095,760,1858,2017,1209,3224,2246,1320,3567,46262,39400,85665,45297,40987,86288,49224,46295,95519
104,1729,718,2446,2104,933,3044,2308,1098,3406,189,24,212,212,13,227,254,28,286,2553,614,3172,1798,461,2263,1711,543,2254,466,85,552,399,55,451,448,79,523,3921,528,4445,4355,575,4926,4994,705,5704,962,385,1347,639,291,927,710,305,1015,2778,3943,6718,2585,3583,6168,2600,3621,6219,1929,2843,4773,2060,2772,4836,2321,2881,5207,1531,373,1897,1527,399,1925,1503,423,1922,295,238,540,295,205,502,236,201,434,361,598,958,294,463,764,334,525,853,392,487,874,370,484,851,360,451,812,998,1087,2085,1009,1122,2130,1210,1292,2504,771,699,1467,843,933,1776,1011,1125,2136,1960,1503,3464,1906,1529,3436,2204,1983,4181,1314,3044,4359,1276,3291,4561,1405,4012,5412,1662,5811,7478,1901,6643,8541,2545,8246,10799,394,291,686,401,322,725,417,360,780,1156,835,1995,1172,870,2045,1245,1059,2311,601,462,1063,1234,736,1975,1488,946,2435,25963,24572,50534,26385,25692,52076,29300,29891,59192
105,4794,1713,6507,4391,1569,5954,4008,1555,5560,1684,222,1905,1708,247,1958,1824,273,2101,1737,419,2158,1355,435,1783,1294,461,1759,602,167,765,506,119,622,560,137,694,2494,281,2774,2662,330,2999,3155,443,3599,1060,385,1451,770,292,1064,788,311,1098,2108,2979,5084,1843,2667,4501,1832,2499,4332,1129,2167,3293,1172,2104,3268,1314,1980,3292,1636,376,2011,1380,358,1736,1402,386,1789,205,175,383,205,145,355,148,139,294,253,490,742,219,402,616,218,367,585,195,261,451,182,225,409,186,242,429,634,849,1481,623,831,1450,582,839,1421,495,616,1110,471,749,1222,520,719,1239,2165,1586,3749,1980,1621,3602,2112,1728,3842,1053,3300,4351,1000,3438,4438,1051,3850,4907,1160,5199,6358,1283,5315,6596,1770,6476,8243,320,264,581,302,241,540,286,302,595,1092,716,1813,1075,750,1824,1007,730,1740,694,430,1122,1155,599,1759,1174,811,1985,25498,22591,48086,24270,22433,46712,25236,24269,49502
106,2344,1334,3677,2405,1319,3730,2440,1486,3929,8663,1165,9830,8670,1265,9932,9167,1553,10726,8555,2232,10792,5590,1846,7436,6005,2208,8214,1460,326,1781,1515,296,1814,1609,393,2004,7272,1176,8447,8108,1322,9435,10111,1845,11957,2212,870,3082,1652,566,2222,2359,800,3159,3971,7545,11512,4070,7138,11205,4473,7841,12316,2840,5577,8419,3325,5701,9028,3934,6053,9987,3605,1041,4651,3671,1156,4829,4106,1239,5339,345,347,697,381,312,698,360,299,657,506,1292,1801,601,1418,2017,760,1621,2382,800,907,1704,743,938,1681,708,920,1629,2268,2292,4559,2184,2323,4508,2739,2848,5586,1487,1856,3350,1777,2353,4122,2255,2967,5224,4172,2602,6774,4321,3022,7338,4725,3481,8204,1694,4877,6573,1722,5736,7456,1953,7250,9202,1623,9292,10910,2005,10951,12955,2910,15147,18056,556,633,1182,571,586,1160,650,713,1359,3205,1932,5130,2916,2115,5032,3087,2559,5644,1524,888,2416,2814,1566,4381,3311,1938,5244,59099,48184,107289,59029,51933,110962,67667,63158,130822
107,346,151,495,386,215,598,372,231,606,2871,186,3054,2417,157,2570,2552,195,2749,10043,1819,11861,6301,1304,7606,6676,1805,8480,1134,196,1326,1148,197,1345,1253,230,1485,8383,1006,9385,11006,1135,12140,12762,1639,14399,2165,907,3073,1809,726,2533,1712,717,2431,4890,7637,12527,5156,7664,12818,5283,7466,12748,3514,5080,8594,4068,5439,9506,4495,5482,9969,5076,986,6066,4822,1056,5876,5180,1196,6374,860,592,1455,893,505,1395,902,554,1457,1482,2778,4266,1765,2728,4491,1840,2853,4694,862,962,1822,846,1015,1868,826,990,1824,3584,2673,6257,3819,2876,6695,4769,3972,8741,1670,2065,3735,1872,2396,4268,2028,2375,4402,4791,3602,8391,5073,4190,9271,5658,4735,10394,4027,8351,12384,4193,9726,13915,4346,10767,15107,3173,12693,15861,3917,14806,18725,5321,19230,24553,900,779,1680,944,879,1820,978,959,1934,2752,2080,4827,2773,2356,5136,2884,2432,5318,1403,967,2376,3122,1622,4744,3135,1923,5063,63916,55508,119423,66332,60993,127328,72975,69763,142732
108,2180,907,3086,2306,954,3253,2467,1083,3550,520,43,563,457,29,488,526,51,582,3807,976,4785,2776,826,3604,2842,970,3811,1193,577,1768,1055,416,1467,1066,482,1556,5681,710,6385,6760,803,7564,7590,988,8576,1271,484,1759,880,327,1212,985,355,1332,4032,5625,9655,3741,5153,8901,4043,5373,9420,2564,3826,6388,2818,3966,6784,3297,4369,7664,2278,503,2779,2263,530,2796,2320,613,2933,334,315,647,310,232,539,292,241,534,478,826,1305,438,703,1141,551,733,1283,510,689,1198,502,722,1227,471,717,1186,1303,1378,2683,1279,1540,2821,1487,1753,3244,1169,1078,2249,1289,1419,2706,1516,1581,3093,2161,1535,3696,2192,1602,3791,2545,1965,4510,1852,4138,5990,1854,4751,6606,2130,5937,8067,2308,8858,11163,2737,10001,12733,3869,13094,16970,535,384,925,485,385,865,523,456,976,1608,1204,2819,1621,1306,2928,1776,1522,3299,842,632,1475,1666,1062,2727,1993,1384,3371,36616,34687,71303,37427,36729,74159,42298,43672,85976
109,4212,1460,5665,4166,1538,5704,4088,1564,5655,202,23,223,147,11,157,191,14,208,4081,1281,5370,3090,1046,4129,3201,1195,4395,501,87,589,464,85,544,464,107,566,3343,445,3788,3669,493,4167,4488,704,5198,1073,417,1489,836,303,1139,903,353,1257,2230,3295,5524,1996,3011,5009,2041,3121,5159,1415,2494,3910,1554,2474,4024,1615,2394,4013,1783,466,2250,1775,527,2305,1861,568,2430,217,221,432,211,187,396,179,149,325,283,587,870,250,526,770,276,478,748,233,270,503,219,278,496,247,304,553,915,904,1823,839,964,1807,898,1049,1944,594,615,1212,590,809,1394,633,857,1488,1675,1484,3162,1654,1423,3073,1819,1644,3468,982,2779,3759,1007,3178,4186,1200,3773,4972,964,4904,5868,1043,5362,6410,1506,6859,8359,251,248,498,258,225,481,272,287,563,1007,746,1755,1096,799,1896,1089,877,1968,706,490,1196,1256,745,2002,1440,852,2293,26679,23211,49885,26123,23978,50100,28415,27137,55555
110,8125,3069,11186,7830,2983,10815,7434,3062,10497,988,125,1111,1444,186,1633,1704,282,1982,3842,1163,5002,3052,1011,4067,3274,1341,4611,711,99,811,634,74,710,679,124,804,4286,548,4828,4529,561,5092,5007,696,5702,1665,649,2309,1302,520,1820,1184,449,1632,3362,4891,8251,3032,4548,7583,2893,4277,7169,1824,3217,5035,1912,3096,5007,2037,2957,4994,2618,724,3338,2327,667,2988,2370,762,3130,334,295,628,295,279,574,258,217,477,498,959,1466,437,796,1232,383,734,1119,395,493,885,377,465,849,363,475,842,1231,1629,2862,1201,1708,2908,1215,1742,2963,743,917,1658,917,1306,2222,1089,1331,2418,2673,1672,4347,2607,1694,4301,2678,2062,4742,2180,5282,7460,2178,5705,7882,2231,6496,8731,1607,7399,9008,1771,7936,9712,2125,9272,11402,374,265,639,332,257,595,368,323,690,1834,1217,3048,1731,1220,2945,1792,1306,3099,1026,666,1699,1935,1119,3051,1911,1219,3133,40315,35272,75584,39847,36134,75986,41007,39133,80142
